h3_cell,lat,lng,visit_count,resolution,country
08a6482136d97fff,18.809767132273244,98.96145755808101,1,10,Thailand
08a6482136d9ffff,18.809882352269714,98.96010639228567,3,10,Thailand
08a6482136da7fff,18.80757732064563,98.9612621083762,5,10,Thailand
08a6482136daffff,18.807692538240456,98.959910951584,1,10,Thailand
08a6482136db7fff,18.80861461687041,98.96203541205732,6,10,Thailand
08a6482190037fff,19.017449957180816,98.94391443385027,1,10,Thailand
08a6482190097fff,19.021824502813946,98.94430536651906,1,10,Thailand
08a64821900a7fff,19.01963724383367,98.94410989883974,1,10,Thailand
08a64821900b7fff,19.020673277106624,98.94488369406108,1,10,Thailand
08a648219011ffff,19.016298706170875,98.94449275506364,1,10,Thailand
08a648219018ffff,19.018486005473548,98.94468822321744,2,10,Thailand
08a64821904effff,19.026198937733053,98.94469630994735,1,10,Thailand
08a6482190867fff,19.007549232382864,98.94371090934587,1,10,Thailand
08a648219094ffff,19.006397922665833,98.94428921308098,1,10,Thailand
08a648219268ffff,19.05152262185032,98.94491606301177,1,10,Thailand
08a648219272ffff,19.044731437183028,98.94703405088529,1,10,Thailand
08a6482192b8ffff,19.033796325511883,98.94605657561246,1,10,Thailand
08a64821954b7fff,19.005361794821162,98.94351545464053,1,10,Thailand
08a6482195517fff,19.000871651532087,98.94447659261745,1,10,Thailand
08a6482195537fff,18.999720300287148,98.94505488038217,2,10,Thailand
08a6482195587fff,19.0030591419862,98.94467205096136,1,10,Thailand
08a648219559ffff,19.004210472471055,98.94409375521151,1,10,Thailand
08a64821955affff,19.00202299464525,98.94389830003162,1,10,Thailand
08a6482195c9ffff,18.99856894091164,98.94563316332574,1,10,Thailand
08a64821a0437fff,18.917496381359538,98.93975454966521,1,10,Thailand
08a64821a0487fff,18.92083672802108,98.93937176128387,2,10,Thailand
08a64821a048ffff,18.9209518411685,98.93802005694053,1,10,Thailand
08a64821a049ffff,18.921988535442708,98.93879359387925,1,10,Thailand
08a64821a04a7fff,18.919684912533718,98.93994992387066,1,10,Thailand
08a64821a04c7fff,18.920030234008262,98.93589481846759,1,10,Thailand
08a64821a04effff,18.91899351286867,98.93512129246515,1,10,Thailand
08a64821a04f7fff,18.91991513645518,98.93724652419824,1,10,Thailand
08a64821a0507fff,18.915192701171204,98.9409108540596,1,10,Thailand
08a64821a051ffff,18.916344545296138,98.94033270427133,1,10,Thailand
08a64821a0527fff,18.914040848985948,98.94148899903,1,10,Thailand
08a64821a058ffff,18.918533088981835,98.94052808163958,1,10,Thailand
08a64821a0597fff,18.919454650193455,98.94265330781461,1,10,Thailand
08a64821a05b7fff,18.91830281941325,98.94323145263643,1,10,Thailand
08a64821a0657fff,18.91864709305073,98.92623748440549,1,10,Thailand
08a64821a0677fff,18.91749529316309,98.92681570370894,1,10,Thailand
08a64821a06c7fff,18.920835647914945,98.92643276846199,1,10,Thailand
08a64821a06dffff,18.921987427214642,98.9258545411782,1,10,Thailand
08a64821a06effff,18.919798884869458,98.92565926028641,1,10,Thailand
08a64821a075ffff,18.91634348520773,98.92739391819671,1,10,Thailand
08a64821a07b7fff,18.919108594828504,98.9337695853509,1,10,Thailand
