key,name,lat,lng,strings
PP-71e99d0400000000,Dream Cafe,19.349931716918945,98.45067596435547,Dream Cafe | Ro Pho Cho. Mae Hong Son 4024 Road | 11 | Pai District | Mae Hi | Mae Hong Son | Pai District | 58130 | TH | Thailand
PP-e48c0f0500000000,กินหมูกระทะ สาขาเชียงใหม่,18.79994773864746,98.99147033691406,กินหมูกระทะ สาขาเชียงใหม่ | Sanam Kila Road | 1 | Mueang Chiang Mai District | Si Phum | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-3503f60000000000,Northlab Dance Studio,18.798320770263672,99.02396392822266,Northlab Dance Studio | Soi Chiang Mai Business Park 4 | Mueang Chiang Mai | Nong Pa Khrang | Chiang Mai | Mueang Chiang Mai | 50000 | TH | Thailand | Northlab Dance Studio | Northlab Dance Studio | NDS | northlab-dance-studio-1Z9-m
PP-6486c90100000000,CNX Pole,18.785079956054688,98.99976348876953,CNX Pole | Soi Tha Phae 1 | 108 | Mueang Chiang Mai District | Chang Khlan | Chiang Mai | Mueang Chiang Mai District | 50100 | TH | Thailand
PP-520d720000000000,Beast Burger,18.795066833496094,98.96765899658203,Beast Burger | ถนนนิมมานเหมินทร์ ซอย 17 | TH | Thailand
PP-c9ac7f0400000000,Red Panda Cafè (CNX) | ร้านกาแฟแพนด้าแดง (หน้ามช.),18.808917999267578,98.95381164550781,Red Panda Cafè (CNX) | ร้านกาแฟแพนด้าแดง (หน้ามช.) | Huai Kaeo Road | 100 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
PP-58f53a0500000000,หม่าล่ากวนอู,13.854206085205078,100.53861999511719,หม่าล่ากวนอู | ชุมชนหมู่บ้านมาสุขนิเวศน์ | 18/54 | อ.เมืองนนทบุรี | ต.บางเขน | จ.นนทบุรี | อ.เมืองนนทบุรี | 11000 | TH | Thailand
PP-ed33130200000000,ปังเจริญ,18.793033599853516,98.9971694946289,ปังเจริญ | ถนนราชวงศ์ | 137 | อ.เมืองเชียงใหม่ | ต.ช้างม่อย | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50300 | TH | Thailand
PP-430ae70100000000,Jai Pang Cafe,19.36286163330078,98.4398422241211,Jai Pang Cafe | Soi Khet Khelang 4 | 5/2 | Pai District | Wiang Tai | Mae Hong Son | Pai District | 58130 | TH | Thailand
PP-fa30a20200000000,Nong Bee’s Burmese Restaurant and the Best Friend Library,18.796579360961914,98.96590423583984,Nong Bee’s Burmese Restaurant and the Best Friend Library | Soi Nimman Hemin 8 | 28 | Mueang Chiang Mai District | Suthep | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-f1fbd90100000000,อาวน์ชา,18.671558380126953,98.88774108886719,อาวน์ชา | ทางหลวงชนบท ชม. 3035 | 258–264 | อ.หางดง | ต.น้ำแพร่ | จ.เชียงใหม่ | อ.หางดง | 50230 | TH | Thailand
PP-52cf1b0200000000,Fohhide,18.798686981201172,98.96870422363281,Fohhide | Soi 5 Nimmanhaemin Road | 14/2  | Mueang Chiang Mai | Suthep | Chiang Mai | Mueang Chiang Mai | 50200 | TH | Thailand
PP-d1d23f0300000000,Cloud Coffee,18.803028106689453,98.95923614501953,Cloud Coffee | Moo 2 | 2/3 | Mueang Chiang Mai District | Suthep | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-9a18080500000000,Boat Chaingmai,18.807090759277344,98.95687103271484,Boat Chaingmai | อ.เมืองเชียงใหม่ | ต.สุเทพ | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50200 | TH | Thailand
PP-5c4a560000000000,Doi Suthep-Pui National Park,18.851451873779297,98.87420654296875,Doi Suthep-Pui National Park | ถนนห้วยแก้ว | จังหวัดเชียงใหม่ | ป่าแดด | TH | Thailand
PP-ac81950400000000,Lanna Meditation Sanctuary,18.911693572998047,99.01325225830078,Lanna Meditation Sanctuary | San Sai District | Nong Han | Chiang Mai | San Sai District | 50290 | TH | Thailand
PP-6f5c200200000000,The ‘90s,18.797727584838867,98.9675521850586,"The ‘90s | Nimman Hemin Road Soi 9 | 5, 1 | Mueang Chiang Mai | Suthep | Chiang Mai | Mueang Chiang Mai | 50200 | TH | Thailand"
PP-0e95ad0500000000,เขากอดโฮมสเตย์,18.88379669189453,98.85020446777344,เขากอดโฮมสเตย์ | Mae Rim District | Pong Yaeng | Chiang Mai | Mae Rim District | 50180 | TH | Thailand
PP-ab5fa00200000000,Chomnok Chommai,18.865812301635742,99.3554916381836,Chomnok Chommai | Moo 3 | 98/2 | Mae On District | Huai Kaeo | Chiang Mai | Mae On District | 50130 | TH | Thailand
PP-33a08a0200000000,Embassy Of The Union Of Myanmar,13.720802307128906,100.52564239501953,Embassy Of The Union Of Myanmar | Sathorn NUA Road | 110 | Bangkok | Si Lom | Bangkok | Bang Rak | 10500 | TH | Thailand
PP-b186a10400000000,Pai coffee Studio,19.35795783996582,98.44827270507812,Pai coffee Studio | Ro Pho Cho. Mae Hong Son 4034 Road | 169 | Pai District | Mae Hi | Mae Hong Son | Pai District | 58130 | TH | Thailand
PP-47a5710400000000,Feel Garden Chiang Mai,18.806665420532227,98.95772552490234,Feel Garden Chiang Mai | Moo 1 | 233 | Mueang Chiang Mai District | Suthep | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-68feee0200000000,ร้านตามใจสั่ง,18.7988338470459,98.975341796875,ร้านตามใจสั่ง | Ratchaphruek Road | 10 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
PP-43f4cf0300000000,ครัวตะหลิวทอง,18.663288116455078,98.91942596435547,ครัวตะหลิวทอง | หมู่บ้านบ้าน ปรารถนา | 181/1 | อ.หางดง | ต.หารแก้ว | จ.เชียงใหม่ | อ.หางดง | 50230 | TH | Thailand
PP-bf25c50500000000,ร้านอาหาร Chiangdao Good View restaurant&cafe,19.42986488342285,98.9819107055664,ร้านอาหาร Chiangdao Good View restaurant&cafe | Moo 5 | 173 | Chiang Dao District | Ping Khong | Chiang Mai | Chiang Dao District | 50170 | TH | Thailand
PP-410fb10500000000,WEALTH POOL VILLA CHIANG MAI,18.806047439575195,99.03707885742188,WEALTH POOL VILLA CHIANG MAI | Muban Ban Phimuk Project 4 | 333/234 | San Sai District | San Phranet | Chiang Mai | San Sai District | 50210 | TH | Thailand
PP-cc42230400000000,Flaneur Tea,13.720785140991211,100.52404022216797,Flaneur Tea | Pan Road | 137/12-13 | Bang Rak District | Si Lom | Bangkok | Bang Rak District | 10500 | TH | Thailand
PP-fa89ef0100000000,สุกี้โคคา,18.808698654174805,98.9565200805664,สุกี้โคคา | Muban Rin | 99/53 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
CP-b8be052e944e0100-1771735180598,Delhi Street Indian Restaurant,18.804071466704034,98.96311392072235,Delhi Street Indian Restaurant
PP-0f2d5f0400000000,"TATA Chiang Dao Cafe, Restaurant, and Farm",19.36888885498047,98.94463348388672,"TATA Chiang Dao Cafe, Restaurant, and Farm | อ.เชียงดาว | ต.เชียงดาว | จ.เชียงใหม่ | อ.เชียงดาว | 50170 | TH | Thailand"
PP-b7c7560200000000,Winstons Pool and Sports Club,18.797245025634766,98.97592163085938,Winstons Pool and Sports Club | Moo 5 | 12 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
PP-2888300200000000,שירותים ציבוריים,19.30826759338379,98.47499084472656,שירותים ציבוריים | Pai District | Mae Hi | Mae Hong Son | Pai District | 58130 | TH | Thailand
PP-7af4cc0000000000,Royal Flora Ratchaphruek Park,18.751102447509766,98.9229507446289,Royal Flora Ratchaphruek Park | TH | Thailand
PP-431c030200000000,MmD.Cafe,13.721248626708984,100.52423858642578,MmD.Cafe | ถนนปั้น | 139 | เขตบางรัก | แขวงสีลม | กรุงเทพมหานคร | เขตบางรัก | 10500 | TH | Thailand
PP-e902690500000000,ข้าวราดแกงสุโขทัย,18.824804306030273,99.00745391845703,ข้าวราดแกงสุโขทัย | ซอยหมู่บ้านโกลเด้นทาวน์เชียงใหม่-กาดรวมโชค | อ.เมืองเชียงใหม่ | ต.ฟ้าฮ่าม | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50000 | TH | Thailand
PP-7de10f0000000000,Little Village,18.67729377746582,98.88720703125,Little Village | TH | Thailand
PP-8c55390300000000,Punna Residence 5,18.8055477142334,98.95845794677734,Punna Residence 5 | Moo 2 | 229/137 | Mueang Chiang Mai District | Suthep | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
CP-b8be052e944e0100-1770618502598,Joy Elephant sanctuary ,18.63067754589689,98.63378488089575,Joy Elephant sanctuary 
PP-b898060400000000,Dreamscape,19.318437576293945,98.45281219482422,Dreamscape | Pai District | Mae Hi | Mae Hong Son | Pai District | 58130 | TH | Thailand
PP-468cbc0000000000,zoe in yellow pub,18.790864944458008,98.9906005859375,zoe in yellow pub | ถนนราชวิถี | จังหวัดเชียงใหม่ | เทศบาลนครเชียงใหม่ | 55520 | TH | Thailand
PP-8c4d0d0300000000,Faculty of Communication Arts Chulalongkorn University,13.73583984375,100.52862548828125,Faculty of Communication Arts Chulalongkorn University | Phaya Thai Road | 254 | Pathum Wan District | Pathum Wan | Bangkok | Pathum Wan District | 10330 | TH | Thailand | Faculty of Communication Arts Chulalongkorn University | Faculty of Communication Arts Chulalongkorn University | FCCU | faculty-of-communication-arts-chulalongkorn-university-BpjPm
UH-b8be052e944e0100-815678028,,18.805538070197237,98.95852660672249,
